Atm. muons - This template is left to float freely in the final fit.
cos(zenith)	log10(E/GeV)	Counts
[-1.00,-0.88]	[0.80,0.92]	0
[-1.00,-0.88]	[0.92,1.04]	2
[-1.00,-0.88]	[1.04,1.16]	6
[-1.00,-0.88]	[1.16,1.27]	7
[-1.00,-0.88]	[1.27,1.39]	12
[-1.00,-0.88]	[1.39,1.51]	14
[-1.00,-0.88]	[1.51,1.63]	6
[-1.00,-0.88]	[1.63,1.75]	9
[-0.88,-0.75]	[0.80,0.92]	1
[-0.88,-0.75]	[0.92,1.04]	0
[-0.88,-0.75]	[1.04,1.16]	4
[-0.88,-0.75]	[1.16,1.27]	16
[-0.88,-0.75]	[1.27,1.39]	28
[-0.88,-0.75]	[1.39,1.51]	31
[-0.88,-0.75]	[1.51,1.63]	29
[-0.88,-0.75]	[1.63,1.75]	28
[-0.75,-0.62]	[0.80,0.92]	0
[-0.75,-0.62]	[0.92,1.04]	2
[-0.75,-0.62]	[1.04,1.16]	7
[-0.75,-0.62]	[1.16,1.27]	26
[-0.75,-0.62]	[1.27,1.39]	32
[-0.75,-0.62]	[1.39,1.51]	51
[-0.75,-0.62]	[1.51,1.63]	68
[-0.75,-0.62]	[1.63,1.75]	75
[-0.62,-0.50]	[0.80,0.92]	0
[-0.62,-0.50]	[0.92,1.04]	2
[-0.62,-0.50]	[1.04,1.16]	8
[-0.62,-0.50]	[1.16,1.27]	18
[-0.62,-0.50]	[1.27,1.39]	43
[-0.62,-0.50]	[1.39,1.51]	65
[-0.62,-0.50]	[1.51,1.63]	70
[-0.62,-0.50]	[1.63,1.75]	104
[-0.50,-0.38]	[0.80,0.92]	0
[-0.50,-0.38]	[0.92,1.04]	1
[-0.50,-0.38]	[1.04,1.16]	3
[-0.50,-0.38]	[1.16,1.27]	9
[-0.50,-0.38]	[1.27,1.39]	38
[-0.50,-0.38]	[1.39,1.51]	64
[-0.50,-0.38]	[1.51,1.63]	69
[-0.50,-0.38]	[1.63,1.75]	75
[-0.38,-0.25]	[0.80,0.92]	1
[-0.38,-0.25]	[0.92,1.04]	0
[-0.38,-0.25]	[1.04,1.16]	5
[-0.38,-0.25]	[1.16,1.27]	12
[-0.38,-0.25]	[1.27,1.39]	35
[-0.38,-0.25]	[1.39,1.51]	41
[-0.38,-0.25]	[1.51,1.63]	62
[-0.38,-0.25]	[1.63,1.75]	65
[-0.25,-0.12]	[0.80,0.92]	0
[-0.25,-0.12]	[0.92,1.04]	0
[-0.25,-0.12]	[1.04,1.16]	1
[-0.25,-0.12]	[1.16,1.27]	12
[-0.25,-0.12]	[1.27,1.39]	25
[-0.25,-0.12]	[1.39,1.51]	55
[-0.25,-0.12]	[1.51,1.63]	70
[-0.25,-0.12]	[1.63,1.75]	79
[-0.12,0.00]	[0.80,0.92]	0
[-0.12,0.00]	[0.92,1.04]	0
[-0.12,0.00]	[1.04,1.16]	6
[-0.12,0.00]	[1.16,1.27]	21
[-0.12,0.00]	[1.27,1.39]	42
[-0.12,0.00]	[1.39,1.51]	47
[-0.12,0.00]	[1.51,1.63]	84
[-0.12,0.00]	[1.63,1.75]	92
