CC_NuMu
logEreco = [0.80 - 0.92], cosZreco = [-1.00_-0.88]
cos(zenith)	log10(E/GeV)	Aeff (m^2)
[-1.000,-0.995]	[0.874,0.881]	3.688e-07
[-1.000,-0.995]	[0.881,0.887]	3.799e-07
[-1.000,-0.995]	[0.900,0.906]	4.203e-07
[-1.000,-0.995]	[0.938,0.944]	1.014e-06
[-1.000,-0.995]	[0.950,0.956]	1.022e-06
[-1.000,-0.995]	[0.969,0.975]	5.670e-07
[-1.000,-0.995]	[0.982,0.988]	6.055e-07
[-1.000,-0.995]	[1.001,1.007]	1.280e-06
[-1.000,-0.995]	[1.007,1.013]	6.779e-07
[-1.000,-0.995]	[1.038,1.045]	7.644e-07
[-1.000,-0.995]	[1.095,1.102]	9.982e-07
[-1.000,-0.995]	[1.108,1.114]	1.047e-06
[-1.000,-0.995]	[1.127,1.133]	1.146e-06
[-1.000,-0.995]	[1.184,1.190]	1.508e-06
[-1.000,-0.995]	[1.196,1.202]	1.562e-06
[-1.000,-0.995]	[1.240,1.247]	3.893e-06
[-1.000,-0.995]	[1.354,1.360]	3.203e-06
[-0.995,-0.990]	[0.616,0.622]	1.192e-07
[-0.995,-0.990]	[0.729,0.736]	1.999e-07
[-0.995,-0.990]	[0.780,0.786]	4.833e-07
[-0.995,-0.990]	[0.792,0.799]	2.571e-07
[-0.995,-0.990]	[0.811,0.818]	2.780e-07
[-0.995,-0.990]	[0.843,0.849]	3.266e-07
[-0.995,-0.990]	[0.856,0.862]	6.926e-07
[-0.995,-0.990]	[0.862,0.868]	3.458e-07
[-0.995,-0.990]	[0.868,0.874]	3.706e-07
[-0.995,-0.990]	[0.881,0.887]	7.534e-07
[-0.995,-0.990]	[0.925,0.931]	4.550e-07
[-0.995,-0.990]	[0.944,0.950]	5.065e-07
[-0.995,-0.990]	[1.007,1.013]	6.649e-07
[-0.995,-0.990]	[1.032,1.038]	7.465e-07
[-0.995,-0.990]	[1.038,1.045]	7.740e-07
[-0.995,-0.990]	[1.083,1.089]	9.617e-07
[-0.995,-0.990]	[1.089,1.095]	9.800e-07
[-0.995,-0.990]	[1.108,1.114]	1.064e-06
[-0.995,-0.990]	[1.127,1.133]	1.140e-06
[-0.995,-0.990]	[1.133,1.139]	1.183e-06
[-0.995,-0.990]	[1.240,1.247]	1.894e-06
[-0.995,-0.990]	[1.310,1.316]	5.230e-06
[-0.995,-0.990]	[1.442,1.448]	4.841e-06
[-0.990,-0.985]	[0.673,0.679]	1.521e-07
[-0.990,-0.985]	[0.723,0.729]	3.695e-07
[-0.990,-0.985]	[0.767,0.774]	2.377e-07
[-0.990,-0.985]	[0.780,0.786]	2.408e-07
[-0.990,-0.985]	[0.799,0.805]	2.645e-07
[-0.990,-0.985]	[0.931,0.938]	4.855e-07
[-0.990,-0.985]	[0.950,0.956]	5.189e-07
[-0.990,-0.985]	[0.969,0.975]	5.737e-07
[-0.990,-0.985]	[0.988,0.994]	6.014e-07
[-0.990,-0.985]	[1.001,1.007]	1.306e-06
[-0.990,-0.985]	[1.026,1.032]	7.373e-07
[-0.990,-0.985]	[1.032,1.038]	7.486e-07
[-0.990,-0.985]	[1.064,1.070]	8.852e-07
[-0.990,-0.985]	[1.070,1.076]	8.839e-07
[-0.990,-0.985]	[1.108,1.114]	1.040e-06
[-0.990,-0.985]	[1.114,1.120]	1.094e-06
[-0.990,-0.985]	[1.196,1.202]	1.549e-06
[-0.990,-0.985]	[1.253,1.259]	2.009e-06
[-0.985,-0.980]	[0.660,0.666]	1.443e-07
[-0.985,-0.980]	[0.729,0.736]	1.980e-07
[-0.985,-0.980]	[0.792,0.799]	2.628e-07
[-0.985,-0.980]	[0.811,0.818]	2.807e-07
[-0.985,-0.980]	[0.893,0.900]	4.056e-07
[-0.985,-0.980]	[0.900,0.906]	4.193e-07
[-0.985,-0.980]	[0.906,0.912]	4.266e-07
[-0.985,-0.980]	[0.938,0.944]	4.811e-07
[-0.985,-0.980]	[0.969,0.975]	5.650e-07
[-0.985,-0.980]	[0.994,1.001]	1.908e-06
[-0.985,-0.980]	[1.038,1.045]	7.628e-07
[-0.985,-0.980]	[1.064,1.070]	1.713e-06
[-0.985,-0.980]	[1.083,1.089]	9.372e-07
[-0.985,-0.980]	[1.089,1.095]	9.754e-07
[-0.985,-0.980]	[1.108,1.114]	1.050e-06
[-0.985,-0.980]	[1.133,1.139]	1.176e-06
[-0.985,-0.980]	[1.184,1.190]	1.510e-06
[-0.985,-0.980]	[1.215,1.221]	1.676e-06
[-0.985,-0.980]	[1.253,1.259]	1.992e-06
[-0.985,-0.980]	[1.316,1.322]	2.734e-06
[-0.980,-0.976]	[0.635,0.641]	1.263e-07
[-0.980,-0.976]	[0.647,0.654]	1.325e-07
[-0.980,-0.976]	[0.692,0.698]	1.622e-07
[-0.980,-0.976]	[0.843,0.849]	3.252e-07
[-0.980,-0.976]	[0.849,0.856]	3.330e-07
[-0.980,-0.976]	[0.912,0.919]	4.511e-07
[-0.980,-0.976]	[0.938,0.944]	4.824e-07
[-0.980,-0.976]	[0.988,0.994]	6.139e-07
[-0.980,-0.976]	[0.994,1.001]	1.253e-06
[-0.980,-0.976]	[1.013,1.020]	7.050e-07
[-0.980,-0.976]	[1.026,1.032]	7.370e-07
[-0.980,-0.976]	[1.045,1.051]	7.791e-07
[-0.980,-0.976]	[1.070,1.076]	8.825e-07
[-0.980,-0.976]	[1.120,1.127]	1.137e-06
[-0.980,-0.976]	[1.146,1.152]	1.268e-06
[-0.980,-0.976]	[1.209,1.215]	1.624e-06
[-0.980,-0.976]	[1.266,1.272]	2.121e-06
[-0.980,-0.976]	[1.341,1.348]	2.960e-06
[-0.976,-0.971]	[0.736,0.742]	2.042e-07
[-0.976,-0.971]	[0.843,0.849]	3.270e-07
[-0.976,-0.971]	[0.849,0.856]	6.605e-07
[-0.976,-0.971]	[0.856,0.862]	3.481e-07
[-0.976,-0.971]	[0.874,0.881]	3.758e-07
[-0.976,-0.971]	[0.919,0.925]	4.477e-07
[-0.976,-0.971]	[0.975,0.982]	5.692e-07
[-0.976,-0.971]	[1.020,1.026]	7.069e-07
[-0.976,-0.971]	[1.038,1.045]	7.817e-07
[-0.976,-0.971]	[1.064,1.070]	8.858e-07
[-0.976,-0.971]	[1.108,1.114]	1.065e-06
[-0.976,-0.971]	[1.120,1.127]	1.089e-06
[-0.976,-0.971]	[1.165,1.171]	1.348e-06
[-0.976,-0.971]	[1.348,1.354]	3.107e-06
[-0.971,-0.966]	[0.591,0.597]	1.047e-07
[-0.971,-0.966]	[0.692,0.698]	1.607e-07
[-0.971,-0.966]	[0.755,0.761]	2.174e-07
[-0.971,-0.966]	[0.767,0.774]	2.366e-07
[-0.971,-0.966]	[0.893,0.900]	8.101e-07
[-0.971,-0.966]	[0.906,0.912]	4.280e-07
[-0.971,-0.966]	[0.919,0.925]	4.499e-07
[-0.971,-0.966]	[0.963,0.969]	5.394e-07
[-0.971,-0.966]	[0.988,0.994]	6.055e-07
[-0.971,-0.966]	[1.007,1.013]	6.659e-07
[-0.971,-0.966]	[1.013,1.020]	6.760e-07
[-0.971,-0.966]	[1.032,1.038]	7.374e-07
[-0.971,-0.966]	[1.038,1.045]	7.669e-07
[-0.971,-0.966]	[1.045,1.051]	8.059e-07
[-0.971,-0.966]	[1.139,1.146]	1.180e-06
[-0.971,-0.966]	[1.253,1.259]	2.020e-06
[-0.971,-0.966]	[1.284,1.291]	2.366e-06
[-0.971,-0.966]	[1.316,1.322]	2.713e-06
[-0.971,-0.966]	[1.398,1.404]	3.876e-06
[-0.966,-0.961]	[0.874,0.881]	3.755e-07
[-0.966,-0.961]	[0.881,0.887]	7.566e-07
[-0.966,-0.961]	[0.887,0.893]	4.020e-07
[-0.966,-0.961]	[0.919,0.925]	4.508e-07
[-0.966,-0.961]	[0.931,0.938]	4.810e-07
[-0.966,-0.961]	[0.988,0.994]	6.341e-07
[-0.966,-0.961]	[1.051,1.057]	8.046e-07
[-0.966,-0.961]	[1.133,1.139]	1.163e-06
[-0.966,-0.961]	[1.165,1.171]	1.365e-06
[-0.966,-0.961]	[1.177,1.184]	1.468e-06
[-0.966,-0.961]	[1.190,1.196]	1.514e-06
[-0.966,-0.961]	[1.221,1.228]	1.733e-06
[-0.961,-0.956]	[0.818,0.824]	2.844e-07
[-0.961,-0.956]	[0.874,0.881]	3.700e-07
[-0.961,-0.956]	[0.944,0.950]	5.089e-07
[-0.961,-0.956]	[0.956,0.963]	5.340e-07
[-0.961,-0.956]	[0.994,1.001]	6.278e-07
[-0.961,-0.956]	[1.001,1.007]	6.642e-07
[-0.961,-0.956]	[1.032,1.038]	1.474e-06
[-0.961,-0.956]	[1.051,1.057]	8.182e-07
[-0.961,-0.956]	[1.064,1.070]	8.545e-07
[-0.961,-0.956]	[1.070,1.076]	8.975e-07
[-0.961,-0.956]	[1.083,1.089]	9.300e-07
[-0.961,-0.956]	[1.089,1.095]	9.756e-07
[-0.961,-0.956]	[1.120,1.127]	1.127e-06
[-0.961,-0.956]	[1.139,1.146]	1.182e-06
[-0.961,-0.956]	[1.442,1.448]	4.713e-06
[-0.956,-0.951]	[0.616,0.622]	1.176e-07
[-0.956,-0.951]	[0.742,0.748]	2.151e-07
[-0.956,-0.951]	[0.780,0.786]	2.450e-07
[-0.956,-0.951]	[0.786,0.792]	2.587e-07
[-0.956,-0.951]	[0.792,0.799]	2.582e-07
[-0.956,-0.951]	[0.874,0.881]	3.767e-07
[-0.956,-0.951]	[0.969,0.975]	5.692e-07
[-0.956,-0.951]	[0.994,1.001]	6.358e-07
[-0.956,-0.951]	[1.007,1.013]	6.730e-07
[-0.956,-0.951]	[1.051,1.057]	8.170e-07
[-0.956,-0.951]	[1.114,1.120]	1.088e-06
[-0.956,-0.951]	[1.133,1.139]	1.177e-06
[-0.956,-0.951]	[1.165,1.171]	1.355e-06
[-0.956,-0.951]	[1.247,1.253]	1.941e-06
[-0.951,-0.946]	[0.698,0.704]	1.701e-07
[-0.951,-0.946]	[0.856,0.862]	3.470e-07
[-0.951,-0.946]	[0.874,0.881]	3.719e-07
[-0.951,-0.946]	[0.893,0.900]	4.023e-07
[-0.951,-0.946]	[0.938,0.944]	4.846e-07
[-0.951,-0.946]	[0.988,0.994]	6.318e-07
[-0.951,-0.946]	[1.038,1.045]	7.690e-07
[-0.951,-0.946]	[1.045,1.051]	1.592e-06
[-0.951,-0.946]	[1.240,1.247]	1.901e-06
[-0.951,-0.946]	[1.291,1.297]	2.447e-06
[-0.946,-0.941]	[0.868,0.874]	3.541e-07
[-0.946,-0.941]	[0.893,0.900]	4.077e-07
[-0.946,-0.941]	[0.975,0.982]	5.714e-07
[-0.946,-0.941]	[1.026,1.032]	7.348e-07
[-0.946,-0.941]	[1.102,1.108]	1.044e-06
[-0.946,-0.941]	[1.177,1.184]	1.457e-06
[-0.946,-0.941]	[1.228,1.234]	1.821e-06
[-0.946,-0.941]	[1.278,1.284]	2.237e-06
[-0.941,-0.937]	[0.723,0.729]	1.952e-07
[-0.941,-0.937]	[0.774,0.780]	2.414e-07
[-0.941,-0.937]	[0.830,0.837]	3.054e-07
[-0.941,-0.937]	[0.856,0.862]	3.491e-07
[-0.941,-0.937]	[0.868,0.874]	3.513e-07
[-0.941,-0.937]	[0.893,0.900]	4.011e-07
[-0.941,-0.937]	[0.925,0.931]	1.414e-06
[-0.941,-0.937]	[0.969,0.975]	5.610e-07
[-0.941,-0.937]	[0.975,0.982]	5.755e-07
[-0.941,-0.937]	[1.045,1.051]	8.042e-07
[-0.941,-0.937]	[1.133,1.139]	1.190e-06
[-0.941,-0.937]	[1.139,1.146]	1.222e-06
[-0.941,-0.937]	[1.146,1.152]	1.273e-06
[-0.941,-0.937]	[1.278,1.284]	2.228e-06
[-0.937,-0.932]	[0.767,0.774]	2.356e-07
[-0.937,-0.932]	[0.818,0.824]	2.999e-07
[-0.937,-0.932]	[0.830,0.837]	3.047e-07
[-0.937,-0.932]	[0.887,0.893]	3.942e-07
[-0.937,-0.932]	[0.900,0.906]	4.264e-07
[-0.937,-0.932]	[0.912,0.919]	4.309e-07
[-0.937,-0.932]	[0.925,0.931]	4.603e-07
[-0.937,-0.932]	[0.938,0.944]	5.075e-07
[-0.937,-0.932]	[0.950,0.956]	5.097e-07
[-0.937,-0.932]	[0.982,0.988]	6.027e-07
[-0.937,-0.932]	[1.001,1.007]	1.310e-06
[-0.937,-0.932]	[1.064,1.070]	8.459e-07
[-0.937,-0.932]	[1.158,1.165]	1.311e-06
[-0.937,-0.932]	[1.234,1.240]	1.834e-06
[-0.932,-0.927]	[0.647,0.654]	1.350e-07
[-0.932,-0.927]	[0.660,0.666]	1.405e-07
[-0.932,-0.927]	[0.874,0.881]	3.782e-07
[-0.932,-0.927]	[0.900,0.906]	4.255e-07
[-0.932,-0.927]	[0.912,0.919]	4.291e-07
[-0.932,-0.927]	[0.938,0.944]	4.914e-07
[-0.932,-0.927]	[1.026,1.032]	7.266e-07
[-0.932,-0.927]	[1.070,1.076]	8.779e-07
[-0.932,-0.927]	[1.114,1.120]	1.054e-06
[-0.932,-0.927]	[1.133,1.139]	1.174e-06
[-0.932,-0.927]	[1.221,1.228]	1.781e-06
[-0.932,-0.927]	[1.360,1.366]	3.270e-06
[-0.927,-0.922]	[0.874,0.881]	3.753e-07
[-0.927,-0.922]	[0.944,0.950]	5.146e-07
[-0.927,-0.922]	[0.963,0.969]	5.499e-07
[-0.927,-0.922]	[1.032,1.038]	7.435e-07
[-0.927,-0.922]	[1.038,1.045]	7.645e-07
[-0.927,-0.922]	[1.076,1.083]	8.887e-07
[-0.927,-0.922]	[1.083,1.089]	9.607e-07
[-0.922,-0.917]	[0.780,0.786]	2.386e-07
[-0.922,-0.917]	[0.818,0.824]	2.998e-07
[-0.922,-0.917]	[0.856,0.862]	3.435e-07
[-0.922,-0.917]	[0.881,0.887]	3.749e-07
[-0.922,-0.917]	[0.988,0.994]	6.117e-07
[-0.922,-0.917]	[0.994,1.001]	6.407e-07
[-0.922,-0.917]	[1.007,1.013]	6.733e-07
